"","name","image","reviewCount","rating","publishedDate","respondDate","verifiedOrder","title","content","reply","contentLength"
"25","Andrei",NA,1,NA,2019-11-13,2019-11-14,TRUE,"ok, but not enough!","there are some problems when I make my purchases in different stores, or when I withdraw money from ATMs.","Hello Andrei!Thanks for your positive review :)About the mentioned issues, we recommend that you contact our Support Team so they can explain exactly what happened to these transactions. Unfortunately, we cannot comment on any account specifics on a public platform.Thanks for your understanding!All the best,The Monese team",105
"26","aitor vazquez",NA,1,NA,2019-11-13,2019-11-14,FALSE,"Me respondieron y otra ved llevo 7…","Me respondieron y otra ved llevo 7 horas esperando a que contesten desde cumplimiento mal empezamos yo ya envié todo lo que pidieron","Hola Aitor,Nuestras más sinceras disculpas por cualquier inconveniente causado en esta situación. Tenga en cuenta que las cuentas solo se suspenden para cumplir con la normativa. Siempre puede encontrar más detalles en nuestros Términos en monese.com/terms - secciones 14 y 15.Parece que ya está en contacto con nuestro Equipo de cumplimiento con respecto al estado de su cuenta. Le recomendamos que responda amablemente a sus correos electrónicos directamente, ya que no podemos comentar ningún detalle de la cuenta en una plataforma pública.apreciamos su comprensión.Todo lo mejor,El equipo de Monese",132
"27","Saulius",NA,1,NA,2019-11-13,2019-11-13,TRUE,"Nice","Nice. Wonderfol","Hello Saulius!Thank you very much for your kind words :)It's great to have you by our side!All the best,The Monese team",15
"28","Victoria",NA,1,NA,2019-11-13,2019-11-13,FALSE,"Horrible","Me cree una cuenta en Monese utilizando el código de invitación de un familiar, pedí la tarjeta e hice el respectivo gasto; ninguno de los dos recibió sus 15€. Mandé varios correos preguntando qué había pasado, no recibí respuesta. Por este motivo, solicité la cancelación de mi cuenta, y adivinad, tampoco he recibido respuesta. Es un banco virtual con 0 asistencia, no hay forma de solucionar ninguno de los problemas que puedan surgir.","Hola Victoria,Lamentamos mucho que haya tenido dificultades con nuestro programa de referencias. Nuestro objetivo siempre es proporcionar a los clientes la experiencia más fluida posible, pero a veces pueden ocurrir problemas aislados.Recuerde que el código de referencia debe agregarse en el primer paso de la apertura de la cuenta, si intenta agregarlo después o una vez que la cuenta ya está abierta, no funcionará.Parece que una persona de nuestro equipo ya le envió un mensaje directo con más detalles sobre lo sucedido. Por favor, eche un vistazo siempre que sea posible.Todo lo mejor,El equipo de Monese",438
"29","MARK",NA,9,NA,2019-11-13,NA,NA,"Praesent nec erat convallis","Lorem ipsum dolor sit amet, consectetur adipiscing elit.",NA,56
"30","Vlad",NA,2,NA,2019-11-13,NA,TRUE,"AVOID!","First of all , no one even read in app chat , in few days they just drop your question . You can call them , but phone support is useless , all they can say is ""We will escalate your case , wait for an E-mail "".September 18.2019 I've made a transaction of 56 £ , UK to UK account , It was pending till October 29.2019 . I called them about ten times asking to cancel this transaction because I already paid to person with different account . Instead of resolve the issue they just suspended my account , (with money in it of course) . Send me nonsense questioning , Questions I already replied long time ago ..All those prepaid accounts companies have one excuse ""We are FCA regulated company "" , I wonder how did they get the license ..I strongly advice you DO NOT keep any money with any FCA regulated prepaid accounts companies . Unless you are ready to lose your money.This company exploiting trustpilot's reporting system to hide unwanted reviews ... draw your conclusions",NA,977
"31","Aleksei",NA,1,NA,2019-11-13,NA,NA,"Praesent nec erat convallis","Lorem ipsum dolor sit amet, consectetur adipiscing elit.",NA,56
"32","pedro gomes",NA,2,NA,2019-11-13,2019-11-14,TRUE,"Cuidado com estes tipos deste cartão","Cuidado com estes tipos deste cartão, 1º não respondem aos mails se por acaso precisarmos, depois as chamadas também não consegui, provavelmente falta de sorte, falar com eles.Agora imaginem se perderem o cartão com dinheiro, o que será preciso para o recuperar...?!Eu sei tem um aba só para cancelamentos e roubos mas se funcionar como os mails e os telefones...a ajuda que eu pedi mesmo agora pelo chat foi a ajuda de uma máquina nada adiantou, novidade.Olhem para a concorrência, não dever ser difícil fazer copy/paste.",NA,522
"33","Олександр Лебідь","https://user-images.trustpilot.com/5dc9df8d4054bb1bf2e6bca1/73x73.png",2,NA,2019-11-13,2019-11-13,FALSE,"Свой негативный отзыв удалил","Свой негативный отзыв удалил, так как со мной связались и оперативно устранили проблему. Моя проблема была в адресе. По нему проживают много людей, и по нему уже были зарегистрированы клиенты monese. И у банка возникли сомнения всвязи с этим. Поэтому мой совет для новых клиентов, особенно для ""заробитчан"" не указывайте один и тот же адрес, конкретизируйте комнату. Оценка не за сервис, пока, а за быстрое устранение проблемы. Надеюсь вскоре дать такую же оценку за сервис.",NA,474
"34","Berke",NA,1,NA,2019-11-12,NA,NA,"Praesent nec erat convallis","Lorem ipsum dolor sit amet, consectetur adipiscing elit.",NA,56
"35","Joel Alexandre",NA,1,NA,2019-11-12,2019-11-13,TRUE,"Gostei imenso","Gostei imenso",NA,13
"36","Carlos Cesar",NA,1,NA,2019-11-12,2019-11-13,TRUE,"Rápido, prático e gratuito.","Rápido, prático, gratuito. Ao precisar recomendar um serviço bancário na Europa para alguém, Monese é sem dúvida o primeiro que vem a cabeça.",NA,141
"37","Jesus Enrique",NA,1,NA,2019-11-12,2019-11-12,TRUE,"Es muy útil y fácil de manejar","Es muy útil y fácil de manejar, lo aconsejo esta muy bueno.","Olá Pedro!Pedimos desculpas pelo tempo na resposta de seus contatos. Algumas vezes o tempo de retorno pode variar dependendo do volume de solicitações ao longo do dia, esperamos que compreenda. É possível verificar que você já foi respondido tanto via e-mail quanto chat, e que aparentemente não há nenhum problema em sua conta. Caso precisa de qualquer assistência, sinta-se a vontade para responder as mensagens enviadas, nosso time de Suporte estará pronto para ajudar.Tudo de melhor,Equipe Monese",59
