"X","name","image","reviewCount","rating","publishedDate","respondDate","verifiedOrder","title","content","reply","contentLength","id","sentiment"
164,"Happy customer",NA,1,NA,"2019-11-03","2019-11-04",FALSE,"Happy customer!","have been using monese for over  year as my current accouny and turst me this is the best bank i have used so far. i opened monese when i came to uk, opening an account was easy and it took only  min. transfering money is very easy and the best thing is that you can see how much you spend in groceries, bills, shopping etc per month! they offer as well the opportunity to save money with interest which is perfect! thank you monese! for anyone who is opening a new account use code: diori for  credit","Olá Susana!Que ótimo! Ficamos felizes que tudo esteja correndo bem :)Agradecemos por compartilhar suas impressões conosco!Conte com a gente sempre que precisar.Tudo de melhor,Equipe Monese",510,164,3.35260115606936
172,"Marco Paulo",NA,1,NA,"2019-11-02","2019-11-05",TRUE,"Simples,sem burocracia e rápido"," todos os servios financeiros deveriam ser assim","Hey there, Mihai!Awesome! Nice to know that you're enjoying Monese!All the best,The Monese team",82,172,-0.780346820809249
174,"Viesturs",NA,1,NA,"2019-11-02","2019-11-04",TRUE,"Working with Monese is very easy and…","working with monese is very easy and simple! my eerience has been great, fast money transfers and good service","Hallo!Nett! Wir freuen uns zu hören, dass Ihre Erfahrungen mit Monese reibungslos verlaufen sind.Es ist immer gut, von zufriedenen Kunden zu hören! Vielen Dank für Ihre Meinung.Alles Gute,Das Monese-Team",143,174,0.895953757225433
179,"Emilia",NA,1,NA,"2019-11-01","2019-11-05",TRUE,"Great expierience!","great eierience!only one issue that i hope you will solve quickly: at the first deposit money, manny people have problems, they get an error and the money won't get into the account, but they are charged from the account that you tried to deposit them. after few hours the money comes back to the first account. so you must try manny times to deposit money into monese account","Hello Zsuzsanna!Thanks for your kind words!All the best,The Monese team",379,179,-0.260115606936417
184,"Jiri",NA,1,NA,"2019-11-01","2019-11-05",TRUE,"Creating account was smooth and easy…","creating account was smooth and easy process","Hey Jiri!Awesome! We're happy to hear that you're having a smooth experience with Monese :)Thanks for sharing your thoughts with us!All the best,The Monese team",45,184,0.0289017341040463
186,"Ivan Rizzo","https://user-images.trustpilot.com/5dbc2ed4d997e36c51600e69/73x73.png",1,NA,"2019-11-01","2019-11-05",FALSE,"Ottima"," spero sia solo una questione di tempose vi fa piacere potete utilizzare il mio codice per ricevere un bonus di  -> ivanmaggiornamento: il bonus  arrivato h dopo",NA,403,186,-0.491329479768786
188,"Reiner",NA,1,NA,"2019-11-01","2019-11-05",TRUE,"So kurz nach der Eröffnung kann ich…"," ich bin sehr sehr begeistert!!wenn ich dann kommenden jahres noch ein businesskonto erffnen kann aus deutschland dann wre das mein absolutes highlight","Ciao Ivan!Siamo lieti di vedere che ti stai godendo il nostro programma di bonus di riferimento!Basta ricordare che il bonus viene attivato non appena la prima transazione con la carta è fatto ed elaborato, che a volte non potrebbe accadere immediatamente, ok?Grazie per la tua recensione!Ti auguro il meglio,La squadra di Monese",437,188,-0.433526011560694
189,"Adrian Valentin",NA,1,NA,"2019-11-01",NA,TRUE,"No give all detail about account on the…","no give all detail about account on the phone, but finally my money is back","Hey there, Apostolos!Awesome! Thanks for your review!Count on us whenever you need :)All the best,The Monese team",75,189,-0.202312138728324
195,"Vukani Chris",NA,1,NA,"2019-10-31","2019-11-04",TRUE,"I don’t understand why MONESE made me…","i dont understand why monese made me go through a whole cumbersome process of applying for a personal account then wait hrs for a business account approval only to be declined with no clarity",NA,195,195,-0.69364161849711
199,"Andrew Morrey",NA,1,NA,"2019-10-31","2019-10-31",FALSE,"Extremely slow transfer speed","i use monese as my eense account to claim things when im away with work. the reason it only gets three stars is because topping up the card is eremely slow! i use starling and monzo also and when transferring money to these accounts its pretty much instant! if you are in a position to make a purchase and need to transfer money from one account to another because for example you have a lack of funds in one particular account you have to wait for a couple of hours before the app and account recognise that a transfer has been made",NA,847,199,-0.0867052023121389
203,"Anna",NA,1,NA,"2019-10-31","2019-10-31",TRUE,"Excellent service"," you really get savings. but, when i first logged in, i user my husbands discount code, and was promised to receive  on the account, which doesnt happen",NA,261,203,-0.202312138728324
204,"Dimitrios",NA,1,NA,"2019-10-31","2019-10-31",TRUE,"I try to top up the amount with my debit card , but rejected .!!","i try to top up the amount with my debit card but rejected ",NA,60,204,-1.35838150289017
206,"Rayan Ben","https://user-images.trustpilot.com/5dba1b03fc2baa54ac97b1cf/73x73.png",1,NA,"2019-10-30","2019-10-31",FALSE,"exellent"," - euros de prime parrainage-banque gratuite-aucunes conditions de revenus- euros pour toi par personne que tu parraines-parrainage illimite-carte gratuite-sans engagement",NA,294,206,-0.722543352601156
211,"Ndilokelwa Fernandes Luis",NA,2,NA,"2019-10-30","2019-11-06",TRUE,"So far so good"," also i have access to my paypal account through monese","Hey there Tiago!Thanks a lot for your kind words! Design is a very important pillar for us, nice to see that you're satisfied with it :)It's good to have you by our side.All the best,The Monese team",128,211,-0.780346820809249
219,"Rachal Hodson",NA,1,NA,"2019-10-29","2019-10-31",FALSE,"I joined and received the card today…","i joined and received the card today but i've had a transaction on my account saying it was declined. the whole thing seems fishy and i'm closing my account",NA,380,219,-0.780346820809249
233,"Saif Rahman",NA,9,NA,"2019-10-28","2019-10-31",FALSE,"Tried to open an account...","tried to open an account","Hey there, Terry!It's nice to hear that you like our app! But also, we apologize if you were not able to speak with a person from our Customer Support Team yet. We're doing everything we can and working daily to improve our response times and provide customers with the smoothest possible support experience.We've sent you a direct chat message so you can clarify the problem a bit more. Our team will be waiting for your reply :)All the best,The Monese team",161,233,-0.780346820809249
237,"Cilla",NA,4,NA,"2019-10-28","2019-10-31",FALSE,"I changed my rating to five stars."," (anyway my client sent my payment onto an other bank account and not my monese account.) so eventually i would recommend monese to anybody, i use it on a daily basis and i also use it as my primary business account",NA,531,237,-0.202312138728324
248,"Imre",NA,1,NA,"2019-10-27","2019-10-27",TRUE,"Estonian Honest"," i cant put money in my card. maybe monese can speak to estonian bank like swedbank or seb and maybe we(monese users) can use their atm machine to put money in like we take it out? i do my best and looking every day new users, i speak much of your bank and try my best and","Tere, Imre!Suur aitäh tagasiside eest! Kahjuks tõesti ei ole hetkel võimalik Monese'i kontole sularaha panna, kuid meie tiim näeb suurt vaeva, et see oleks tulevikus võimalik. See võib tõesti natukene ebamugav olla ja vabandame senikaua selle eest. Meile aga väga meeldib kuulda, et siiani teile Monese meeldib ja et räägite sellest oma sõpradelegi! Nagu siinsest kommentaarist näha, siis me pakume ka eesti keelset kliendituge. Kirjutage vabalt meie klienditeenindusse, kui millegagi abi vajate ja aitame teid hea meelega!Head päeva!Monese",618,248,0.606936416184971
